Número de llamadas pertinentes;
450;01/09/2007
4.713;01/10/2007
4.772;01/11/2007
5.780;01/12/2007
6.105;01/01/2008
6.916;01/02/2008
7.040;01/03/2008
6.221;01/04/2008
5.993;01/05/2008
5.652;01/06/2008
6.490;01/07/2008
7.062;01/08/2008
6.224;01/09/2008
5.587;01/10/2008
5.658;01/11/2008
6.003;01/12/2008
6.010;01/01/2009
5.073;01/02/2009
5.949;01/03/2009
5.319;01/04/2009
5.652;01/05/2009
5.670;01/06/2009
5.542;01/07/2009
6.339;01/08/2009
5.949;01/09/2009
5.544;01/10/2009
5.566;01/11/2009
5.928;01/12/2009
5.407;01/01/2010
4.526;01/02/2010
5.279;01/03/2010
5.923;01/04/2010
5.455;01/05/2010
6.022;01/06/2010
6.554;01/07/2010
6.181;01/08/2010
5.317;01/09/2010
5.298;01/10/2010
5.495;01/11/2010
6.239;01/12/2010
5.910;01/01/2011
5.435;01/02/2011
5.612;01/03/2011
5.563;01/04/2011
5.511;01/05/2011
5.145;01/06/2011
5.180;01/07/2011
5.772;01/08/2011
6.672;01/09/2011
6.805;01/10/2011
7.031;01/11/2011
6.043;01/12/2011
5.558;01/01/2012
4.575;01/02/2012
4.613;01/03/2012
4.624;01/04/2012
5.026;01/05/2012
5.012;01/06/2012
5.002;01/07/2012
4.929;01/08/2012
4.322;01/09/2012
3.823;01/10/2012
3.820;01/11/2012
4.506;01/12/2012
4.575;01/01/2013
3.945;01/02/2013
3.908;01/03/2013
4.454;01/04/2013
4.635;01/05/2013
5.279;01/06/2013
5.058;01/07/2013
5.148;01/08/2013
4.500;01/09/2013
4.878;01/10/2013
5.490;01/11/2013
6.404;01/12/2013
5.626;01/01/2014
4.586;01/02/2014
5.751;01/03/2014
5.290;01/04/2014
5.539;01/05/2014
5.510;01/06/2014
5.020;01/07/2014
6.474;01/08/2014
6.344;01/09/2014
5.669;01/10/2014
5.376;01/11/2014
7.466;01/12/2014
5.641;01/01/2015
4.948;01/02/2015
5.121;01/03/2015
5.920;01/04/2015
7.754;01/05/2015
6.330;01/06/2015
6.518;01/07/2015
7.550;01/08/2015
7.750;01/09/2015
8.458;01/10/2015
7.873;01/11/2015
8.129;01/12/2015
7.354;01/01/2016
6.648;01/02/2016
6.534;01/03/2016
5.974;01/04/2016
6.741;01/05/2016
7.358;01/06/2016
7.498;01/07/2016
9.916;01/08/2016
7.764;01/09/2016
6.395;01/10/2016
6.518;01/11/2016
6.618;01/12/2016
6.459;01/01/2017
6.755;01/02/2017
7.607;01/03/2017
6.614;01/04/2017
7.424;01/05/2017
6.590;01/06/2017
6.492;01/07/2017
6.613;01/08/2017
5.977;01/09/2017
5.737;01/10/2017
5.627;01/11/2017
5.901;01/12/2017
6.606;01/01/2018
5.449;01/02/2018
5.613;01/03/2018
6.020;01/04/2018
6.321;01/05/2018
6.269;01/06/2018
7.107;01/07/2018
6.485;01/08/2018
6.437;01/09/2018
5.908;01/10/2018
5.590;01/11/2018
5.649;01/12/2018
5.290;01/01/2019
4.911;01/02/2019
5.672;01/03/2019
5.396;01/04/2019
5.967;01/05/2019
5.922;01/06/2019
6.254;01/07/2019
6.222;01/08/2019
5.639;01/09/2019
5.819;01/10/2019
5.989;01/11/2019
5.633;01/12/2019
5.483;01/01/2020
5.194;01/02/2020
6.273;01/03/2020
8.632;01/04/2020
